X,Y,LAST_YEAR,AADT_ALLVE
2323502.177,2363074.704,,
2218150.927,2360014.622,,
2201667.006,2346004.54,,
2201755.681,2344716.822,,
2378107.909,2350281.346,,
2440120.849,2351282.905,,
2446694.672,2360559.658,,
2435221.607,2374326.725,,
2201073.228,2374378.929,,
2244760.177,2364305.073,2013,330
2236524.645,2412295.277,,
2199606.438,2347977.63,,
2412743.599,2362449.713,,
2201073.228,2374378.929,,
2439649.409,2373169.889,,
2503074.536,2399800.043,,
2491092.917,2410798.176,,
2497351.456,2411126.671,2003,14000
2444812.646,2370366.986,,
2278767.904,2345047.065,,
2517275.736,2372490.61,,
2635999.691,2366580.633,,
2519390.956,2390644.472,2000,21000
2431463.308,2491906.645,2000,3100
2520866.333,2339258.697,,
2495699.275,2466743.013,2000,4900
2487906.634,2417201.48,2000,18000
2498154.827,2453850.262,,
2441579.608,2377942.991,,
2516454.199,2514314.704,,
2234431.618,2556440.758,,
2439174.197,2361555.967,,
2438876.666,2525523.731,,
2516454.199,2514314.704,,
2361737.141,2629936.939,,
2493892.856,2422988.42,,
2508449.069,2351404.072,,
2443386.51,2368831.83,,
2501079.233,2400097.973,,
2632392.342,2365205.193,,
2503869.054,2399673.116,2000,8700
2479026.51,2403673.459,,
2514564.508,2405215.35,,
2499620.411,2406877.348,,
2562076.45,2347850.365,,
2500955.62,2406694.17,,
2449207.028,2369105.738,,
2475991.017,2435356.305,,
2362197.18,2601313.776,2008,60
2468629.786,2439895.164,2008,820
2435525.747,2351153.981,,
2443613.474,2370807.424,,
2463197.924,2369618.033,,
2265382.867,2425662.439,,
2443197.275,2371989.318,,
2202309.16,2348439.978,2013,3200
2601477.141,2343876.434,,
2438104.749,2351146.76,,
2456073.472,2357562.846,,
2411060.388,2330251.746,,
2218150.927,2360014.622,2016,120
2306575.85,2377995.027,,
2282601.087,2390096.698,,
2379436.769,2385496.98,,
2201073.228,2374378.929,,
2195636.09,2415722.482,,
2353982.058,2393009.716,,
2201073.228,2374378.929,,
2416100.315,2377438.775,,
2390219.765,2520182.241,2014,250
2611147.091,2345551.822,,
2445574.316,2402718.228,2014,4800
2371760.671,2317962.962,,
2454722.031,2358625.985,,
2441395.19,2376672.971,,
2437601.911,2385908.454,,
2463197.924,2369618.033,2015,2900
2371760.671,2317962.962,,
2503396.816,2464372.519,2015,
2443856.65,2377799.296,2005,1600
2201667.006,2346004.54,,
2439642.616,2373135.708,,
2508449.069,2351404.072,,
2531469.368,2331703.055,,
2495038.087,2410991.206,2017,10000
2354639.627,2388638.7,,
2516384.485,2511001.47,,
